"BAIRRO","COD_MUNICIPIO","MUNICIPIO","NOME_FANTASIA","RAZAO_SOCIAL","VAL_MEDIO_VENDIDO","DISTANCIA"
"JACINTINHO","2785","MACEIO","POSTO CASTELO","AUTO POSTO JACINTINHO LTDA","3.984","0"
"CENTRO","2785","MACEIO","POSTO CASTELO","AUTO POSTO MACEIO LTDA","4.051","0"
"FEITOSA","2785","MACEIO","AUTO POSTO CONFIANCA","AUTO POSTO CONFIANCA EIRELI","4.105","0"
"BARRO DURO","2785","MACEIO","POSTO SENA","A. LUIZ SOARES VIEIRA","4.142","0"
"SAO JORGE","2785","MACEIO","REYAUTO POSTO","REYAUTO COMERCIO DE COMBUSTIVEIS LTDA","4.142","0"
"FAROL","2785","MACEIO","POSTO FAROL","MADSON COMERCIO DE COMBUSTIVEIS E PRODUTOS ALIMENTICIOS LTDA","4.144","0"
"JARAGUA","2785","MACEIO","POSTO JARAGUA","POSTO JARAGUA LTDA","4.154","0"
"PRADO","2785","MACEIO","POSTO MASTER","VIEIRA & MELO LTDA","4.169","0"
"JACINTINHO","2785","MACEIO","REYAUTO POSTO","REYAUTO COMERCIO DE COMBUSTIVEIS LTDA","4.171","0"
"POCO","2785","MACEIO","POSTO SAO JOSE I","POSTO COMBUSTIVEL L & C LTDA","4.179","0"
"PONTA GROSSA","2785","MACEIO","AUTO POSTO SANTO ANTONIO","T. C. COMBUSTIVEIS LTDA","4.18","0"
"LEVADA","2785","MACEIO","POSTO LAGOA","AUTO POSTO LAGOA LTDA","4.18","0"
"SANTA LUCIA","2785","MACEIO","AUTO POSTO ESTRELA","SOUZA & AMARAL AUTO POSTO LTDA","4.183","0"
"SANTOS DUMONT","2785","MACEIO","AUTO POSTO BANDEIRANTE LTDA","AUTO POSTO BANDEIRANTE LTDA","4.191","0"
"CENTRO","2785","MACEIO","POSTO PONTO CERTO II","AUTO POSTO ANDA LUZ LTDA","4.2","0"
"BOM PARTO","2785","MACEIO","COMPANHIA BRASILEIRA DE DISTRIBUICAO","COMPANHIA BRASILEIRA DE DISTRIBUICAO","4.205","0"
"PONTA GROSSA","2785","MACEIO","POSTO NENO","COMERCIO DE COMBUSTIVEIS MELO DOS ANJOS LTDA","4.208","0"
"RIO NOVO","2785","MACEIO","MARTA CRISTINA SOBRAL","MARTA CRISTINA SOBRAL","4.21","0"
"CIDADE UNIVERSITARIA","2785","MACEIO","POSTO PONTO CERTO","AUTO POSTO 2 IRMAOS LTDA","4.212","0"
"POCO","2785","MACEIO","POSTO NOSSA SENHORA DE NAZARE","POSTO NOSSA SENHORA DE NAZARE LTDA","4.216","0"
"LEVADA","2785","MACEIO","POSTO LIMA","COMERCIO VAREJISTA DE COMBUSTIVEIS E DERIVADOS DO PETROLEO LTDA","4.217","0"
"CENTRO","2785","MACEIO","POSTO SOBRAL","SOBRAL COMERCIO E SERVICOS LTDA","4.225","0"
"BARRO DURO","2785","MACEIO","AUTO POSTO V8","AUTO POSTO SEU JORGE LTDA","4.225","0"
"BARRO DURO","2785","MACEIO","POSTO FORUM","M H DA COSTA E CIA LTDA","4.235","0"
"SERRARIA","2785","MACEIO","POSTO ALECRIM","PINTO E SARMENTO LTDA","4.241","0"
"IPIOCA","2785","MACEIO","POSTO TOP","AUTO POSTO TOP LTDA","4.242","0"
"FEITOSA","2785","MACEIO","SMART AUTO POSTO","AUTO POSTO VALPARA�SO LTDA.","4.248","0"
"JACINTINHO","2785","MACEIO","POSTO JACINTINHO","AAMM COMERCIAL DE COMBUSTIVEIS LTDA","4.25","0"
"CRUZ DAS ALMAS","2785","MACEIO","COMPANHIA BRASILEIRA DE DISTRIBUICAO","COMPANHIA BRASILEIRA DE DISTRIBUICAO","4.257","0"
"POCO","2785","MACEIO","POSTO JATIUCA","AUTO POSTO ROMEIRO LTDA","4.258","0"
"PINHEIRO","2785","MACEIO","FLEX POSTO FAROL","FLEX POSTO LTDA","4.266","0"
"RIACHO DOCE","2785","MACEIO","POSTO SEREIA","AUTO POSTO SEREIA LTDA","4.27","0"
"FEITOSA","2785","MACEIO","POSTO MAXI","MAXI POSTO BR LTDA","4.286","0"
"CIDADE UNIVERSITARIA","2785","MACEIO","POSTO GRACILIANO RAMOS","HOLANDA COMERCIO COMBUSTIVEIS LTDA","4.288","0"
"CLIMA BOM","2785","MACEIO","NOSSO POSTO","NOSSO POSTO COMERCIO E REPRESENTACAO LTDA","4.295","0"
"JARAGUA","2785","MACEIO","POSTO SARANDI","BELUMA COMERCIO DE COMBUSTIVEIS LTDA","4.296","0"
"SANTA AMELIA","2785","MACEIO","MACEIO AUTO POSTO","MACEIO AUTO POSTO LTDA","4.312","0"
"FAROL","2785","MACEIO","POSTO GAMA","POSTO GAMA LTDA","4.319","0"
"PRADO","2785","MACEIO","POSTO CABO REIS","MW COMERCIO DE COMBUSTIVEIS LTDA","4.32","0"
"PONTA VERDE","2785","MACEIO","AUTO POSTO AVENIDA","AUTO POSTO AVENIDA LTDA","4.321","0"
"CLIMA BOM","2785","MACEIO","CAVALCANTE & LEITE LTDA","CAVALCANTE & LEITE LTDA","4.332","0"
"JACARECICA","2785","MACEIO","POSTO VIA NORTE","AUTO POSTO VIA NORTE LTDA","4.335","0"
"PINHEIRO","2785","MACEIO","POSTO BRASIL","MAXI POSTO V LTDA","4.34","0"
"GRUTA DE LOURDES","2785","MACEIO","COMPANHIA BRASILEIRA DE DISTRIBUICAO","COMPANHIA BRASILEIRA DE DISTRIBUICAO","4.34","0"
"SERRARIA","2785","MACEIO","POSTO RESERVA DO VALE","POSTO RESERVA DO VALE LTDA","4.346","0"
"MUTANGE","2785","MACEIO","POSTO MOTORIZADO","POSTO MOTORIZADO LTDA","4.354","0"
"PINHEIRO","2785","MACEIO","POSTO FAROL","AUTO POSTO FAROL LTDA","4.36","0"
"SANTA LUCIA","2785","MACEIO","POSTO STO ANTONIO","HOLANDA & MARQUES LTDA","4.36","0"
"SERRARIA","2785","MACEIO","POSTO'S HANNAH","AUTO POSTO HANNAH LTDA","4.363","0"
"MANGABEIRAS","2785","MACEIO","FLEX POSTO MANGABEIRAS","AUTO POSTO SHOPPING LTDA","4.368","0"
"MANGABEIRA","2785","MACEIO","POSTO SALDANHA","M A SALDANHA & CIA LTDA","4.382","0"
"TAB DOS MARTINS","2785","MACEIO","MARTA CRISTINA SOBRAL","MARTA CRISTINA SOBRAL","4.385","0"
"SANTOS DUMONT","2785","MACEIO","AUTO POSTO DIDONE","DIDONE & ALVIM COMBUSTIVEIS LTDA","4.389","0"
"SAO JORGE","2785","MACEIO","IBN PINTO E SILVA & CIA LTDA","IBN PINTO E SILVA & CIA LTDA","4.389","0"
"SANTOS DUMONT","2785","MACEIO","TOTAL GIRO","COMERCIAL TRES IRMAOS LTDA","4.391","0"
"JARAGUA","2785","MACEIO","POSTO PAJUCARA","POSTO PAJUCARA EIRELI","4.391","0"
"CENTRO","2785","MACEIO","POSTO TIGRE CAMBONA","AUTO POSTO ALFA LTDA","4.394","0"
"TABULEIRO DOS MARTINS","2785","MACEIO","AUTO POSTO FLORESTA","COMERCIO DE COMBUSTIVEL FLORESTA LTDA","4.398","0"
"BOM PARTO","2785","MACEIO","POSTOS DE COMBUSTIVEIS PICHILAU","POSTO QUARTO DE MILHA LTDA","4.398","0"
"VERGEL DO LAGO","2785","MACEIO","AUTO POSTO GUIA","ARAUJO COMERCIO DE COMBUSTIVEIS - EIRELI","4.399","0"
"CRUZ DAS ALMAS","2785","MACEIO","MAXI POSTO IV","MAXI POSTO IV LTDA","4.401","0"
"CRUZ DAS ALMAS","2785","MACEIO","POSTO VIPS LTDA","POSTO VIPS LTDA","4.402","0"
"GRUTA DE LOURDES","2785","MACEIO","POSTO 59","NICACIO & BARBOSA COMERCIO DE COMBUSTIVEIS LTDA","4.406","0"
"JATIUCA","2785","MACEIO","AUTO POSTO STELLA MARES","CDG COMBUSTIVEIS LTDA","4.414","0"
"ANTARES","2785","MACEIO","AUTO POSTO ANTARES LTDA","AUTO POSTO ANTARES LTDA","4.414","0"
"TABULEIRO DOS MARTINS","2785","MACEIO","POSTO SAO CRISTOVAO","AUTO POSTO MALIS LTDA","4.415","0"
"PRADO","2785","MACEIO","MAXI POSTO VI","MAXI POSTO IV LTDA","4.421","0"
"JATIUCA","2785","MACEIO","POSTO VIA MARE","AUTO POSTO VIA MARE LTDA","4.422","0"
"PETROPOLIS","2785","MACEIO","AUTO POSTO BOM","VIEIRA & OMENA LTDA","4.422","0"
"SERRARIA","2785","MACEIO","AUTO POSTO SERRARIA","A F M ALBUQUERQUE COMBUSTIVEIS EIRELI","4.426","0"
"POCO","2785","MACEIO","CONVINIENCIA 04 RODAS","POSTO MELO COMENDADOR EIRELI","4.43","0"
"GRUTA DE LOURDES","2785","MACEIO","AUTO POSTO GRUTA","GMA AUTO POSTO E CONVENIENCIA LTDA","4.432","0"
"TABULEIRO DOS MARTINS","2785","MACEIO","AAMM COMERCIAL DE COMBUSTIVEIS LTDA","AAMM COMERCIAL DE COMBUSTIVEIS LTDA","4.432","0"
"CRUZ DAS ALMAS","2785","MACEIO","AUTO POSTO AL 101","AUTO POSTO AL 101 LTDA","4.436","0"
"JATIUCA","2785","MACEIO","POSTO AMELIA ROSA","AUTO POSTO AMELIA ROSA LTDA","4.439","0"
"CIDADE UNIVERSITARIA","2785","MACEIO","POSTO VIA EXPRESSA","ARAUJO & LIMA LTDA","4.44","0"
"SANTA AMELIA","2785","MACEIO","POSTO SANTA AMELIA","ARAUJO & ALBUQUERQUE COMERCIO DE COMBUSTIVEIS LTDA","4.44","0"
"PINHEIRO","2785","MACEIO","POSTO PODIUM","FGP COMERCIO DE COMBUSTIVEIS EIRELI","4.443","0"
"PRADO","2785","MACEIO","POSTO PRAIA","POSTO BOULANGERIE LTDA","4.458","0"
"TAB DOS MARTINS","2785","MACEIO","POSTOS DE COMBUSTIVEIS PICHILAU","POSTO QUARTO DE MILHA LTDA","4.462","0"
"TABULEIRO DOS MARTINS","2785","MACEIO","MAKRO ATACADISTA","MAKRO ATACADISTA S.A","4.465","0"
"SERRARIA","2785","MACEIO","POSTO CLEAN CAR","AUTO POSTO CLEAN CAR LTDA","4.472","0"
"GRUTA DE LOURDES","2785","MACEIO","POSTO SANTO ANTONIO","FERREIRA COMERCIO DE COMBUSTIVEIS LTDA","4.474","0"
"FAROL","2785","MACEIO","POSTO PRATAGY","TARGINO COMERCIO DE COMBUSTIVEIS LTDA","4.475","0"
"GRUTA DE LOURDES","2785","MACEIO","POSTO CARANGO","VINICIUS CANSANCAO & CIA LTDA","4.483","0"
"POCO","2785","MACEIO","POSTO 04 RODAS COMERCIO E SERVICOS LTDA","POSTO 04 RODAS COMERCIO E SERVICOS LTDA","4.484","0"
"ANTARES","2785","MACEIO","POSTO VELOZ","AUTO POSTO VELOZ LTDA","4.488","0"
"FAROL","2785","MACEIO","POSTO NOBRE","POSTO NOBRE CONFIANCA LTDA","4.489","0"
"SERRARIA","2785","MACEIO","POSTO GURI","POSTO GURI LTDA","4.495","0"
"BARRO DURO","2785","MACEIO","POSTO OURO PRETO","AUTO POSTO OURO PRETO LTDA","4.502","0"
"TAB DOS MARTINS","2785","MACEIO","POSTO FRANCISCO LIMA","J AQUINO","4.508","0"
"PONTA VERDE","2785","MACEIO","POSTO PIRAMIDE","POSTO PIRAMIDE LTDA","4.509","0"
"TAB DOS MARTINS","2785","MACEIO","CANAA COMERCIO E REPRESENTACOES LTDA","CANAA COMERCIO E REPRESENTACOES LTDA","4.516","0"
"TABULEIRO DOS MARTINS","2785","MACEIO","POSTO CLETO","VIEIRA & OMENA LTDA","4.518","0"
"FAROL","2785","MACEIO","POSTO JARDINS II","MASCARENHAS AUTO POSTOS LTDA","4.518","0"
"SERRARIA","2785","MACEIO","AUTO POSTO LIDERANCA","LIDERANCA COMERCIO E DISTRIBUIDORA DE COMBUSTIVEIS EIRELI","4.518","0"
"IPIOCA","2785","MACEIO","MARES DO NORTE EMPREENDIMENTOS","AUTO POSTO MARES DO NORTE EIRELI","4.532","0"
"JATIUCA","2785","MACEIO","AUTO POSTO R2","AUTO POSTO R2 LTDA","4.547","0"
"TRAPICHE DA BARRA","2785","MACEIO","POSTO PRAIA MAR","COX & GAMA LTDA","4.55","0"
"SANTA AMELIA","2785","MACEIO","N MAISSA","N MAISSA DOS SANTOS SOUZA LIMA - EIRELI","4.566","0"
"JATIUCA","2785","MACEIO","POSTO MILLENIUM","AUTO POSTO MILLENIUM LTDA","4.571","0"
"FEITOSA","2785","MACEIO","AUTO POSTO BARILOCHE","AUTO POSTO BARILOCHE EIRELI","4.579","0"
"PRADO","2785","MACEIO","AUTO POSTO COMENDADOR LTDA","AUTO POSTO COMENDADOR LTDA","4.589","0"
"TAB DO MARTINS","2785","MACEIO","POSTO UNO","AUTO POSTO SAO LUIZ LTDA","4.602","0"
"SERRARIA","2785","MACEIO","VIA EXPRESSA DISTRIBUIDORA","VIA EXPRESSA DISTRIBUIDORA COMERCIO SERVICOS E REPRESENTACOES LTDA","4.622","0"
"TAB.DOS MARTINS","2785","MACEIO","POSTO EUCALYPTOS","NEW STAR COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES LTDA","4.624","0"
"PONTA VERDE","2785","MACEIO","POSTO PONTA VERDE","SERVICOS AUTOMOTIVOS PONTA VERDE LTDA","4.628","0"
"POCO","2785","MACEIO","AUTO POSTO COMENDADOR LTDA","AUTO POSTO COMENDADOR LTDA","4.634","0"
"TAB DOS MARTINS","2785","MACEIO","POSTO JARDINS","MASCARENHAS AUTO POSTOS LTDA","4.669","0"
"TRAPICHE DA BARRA","2785","MACEIO","POSTO TRAPICHAO","AUTO POSTO TRAPICHAO LTDA","4.674","0"
"ANTARES","2785","MACEIO","POSTO PRATAGY","TARGINO E COSTA LTDA","4.691","0"
"PONTA VERDE","2785","MACEIO","AUTO POSTO GUIMARAES","A. F. GUIMARAES JUNIOR","4.697","0"
"FAROL","2785","MACEIO","POSTO TOMAS ESPINDOLA","SANDIEGO COMERCIO DE COMBUSTIVEIS EIRELI","4.697","0"
"FAROL","2785","MACEIO","POSTO DAS ACACIAS","MV COMERCIO E REPRESENTACAO DE COMBUSTIVEIS LTDA","4.718","0"
"JACINTINHO","2785","MACEIO","AUTO POSTO LESTE-OESTE","AUTO POSTO CENTRO OESTE LTDA","4.954","0"
"ZONA RURAL","2761","IGACI","AUTO POSTO SEGURO","AUTO POSTO SEGURO COM�RCIO DE COMBUST�VEIS LTDA","3.994","153705"
"ZONA RURAL","2761","IGACI","AUTO POSTO JP LTDA","AUTO POSTO JP LTDA","4.633","153705"
"CENTRO","2761","IGACI","POSTO IGACI LTDA","POSTO IGACI LTDA","4.689","153705"
"TABULEIRO DO PINTO","2853","RIO LARGO","AUTO POSTO SAN LORENZZO","SAN LORENZZO COMERCIO E DISTRIBUICAO DE COMBUSTIVEIS LTDA","4.075","22677"
"PREFEITO ANTONIO LINS DE SOUZA","2853","RIO LARGO","AUTO POSTO FORENE LTDA","AUTO POSTO FORENE LTDA","4.337","22677"
"PREFEITO ANTONIO LINS DE SOUZA","2853","RIO LARGO","AUTO POSTO MOTORIZADO","TULEMON COMERCIO LTDA","4.344","22677"
"ANTONIO LINS DE SOUZA","2853","RIO LARGO","PENIEL AUTO POSTO","PENIEL REVENDEDORA DE COMBUSTIVEIS LTDA","4.355","22677"
"CENTRO","2853","RIO LARGO","POSTO BR IRMAOS KLEBER E KLEYTON","OLIVEIRA & FREITAS LTDA","4.397","22677"
"ZONA RURAL","2853","RIO LARGO","POSTOS DE COMBUSTIVEIS PICHILAU","AUTO POSTO PIONEIRO LTDA","4.397","22677"
"ANTONIO LINS DE SOUZA","2853","RIO LARGO","POSTO 11","FARIAS E LESSA COMERCIO DE COMBUSTIVEIS LTDA","4.446","22677"
"MATA DO ROLO","2853","RIO LARGO","POSTO MATA DO ROLO","CDA EMPREENDIMENTOS LTDA","4.529","22677"
"PREF ANTONIO LINS SOUZA","2853","RIO LARGO","POSTO REFORCO 6","POSTO REFORCO 6 LTDA","4.531","22677"
"MONUMENTO","2859","SANTANA DO IPANEMA","POSTO JOTA PINTO","IRMAOS JOTA PINTO & CIA LTDA","4.147","209500"
